"年月日","都道府県ID","商品ID","数量"
"2016/1/1","1","12","1"
"2016/1/1","3","12","1"
"2016/1/1","6","12","1"
"2016/1/1","7","12","1"
"2016/1/1","8","12","1"
"2016/1/1","13","12","1"
"2016/1/1","14","12","1"
"2016/1/1","15","12","1"
"2016/1/1","17","12","1"
"2016/1/1","18","12","1"
"2016/1/1","20","12","1"
"2016/1/1","25","12","1"
"2016/1/1","27","12","1"
"2016/1/1","28","12","1"
"2016/1/1","30","12","1"
"2016/1/1","32","12","1"
"2016/1/1","33","12","1"
"2016/1/1","35","12","1"
"2016/1/1","37","12","1"
"2016/1/1","38","12","1"
"2016/1/1","40","12","1"
"2016/1/1","42","12","1"
"2016/1/1","43","12","1"
"2016/1/1","44","12","1"
"2016/1/1","46","12","1"
"2016/1/1","1","5","1"
"2016/1/1","2","5","1"
"2016/1/1","3","5","1"
"2016/1/1","4","5","1"
"2016/1/1","6","5","1"
"2016/1/1","7","5","1"
"2016/1/1","11","5","1"
"2016/1/1","12","5","1"
"2016/1/1","14","5","1"
"2016/1/1","15","5","1"
"2016/1/1","16","5","1"
"2016/1/1","17","5","1"
"2016/1/1","18","5","1"
"2016/1/1","20","5","1"
"2016/1/1","21","5","1"
"2016/1/1","22","5","1"
"2016/1/1","23","5","1"
"2016/1/1","25","5","1"
"2016/1/1","27","5","1"
"2016/1/1","29","5","1"
"2016/1/1","30","5","1"
"2016/1/1","31","5","1"
"2016/1/1","33","5","1"
"2016/1/1","36","5","1"
"2016/1/1","37","5","1"
"2016/1/1","38","5","1"
"2016/1/1","40","5","1"
"2016/1/1","41","5","1"
"2016/1/1","42","5","1"
"2016/1/1","44","5","1"
"2016/1/1","45","5","1"
"2016/1/1","46","5","1"
"2016/1/1","47","5","1"
"2016/2/1","1","12","1"
"2016/2/1","3","12","1"
"2016/2/1","6","12","1"
"2016/2/1","7","12","1"
"2016/2/1","10","12","1"
"2016/2/1","11","12","1"
"2016/2/1","12","12","1"
"2016/2/1","13","12","1"
"2016/2/1","15","12","1"
"2016/2/1","16","12","1"
"2016/2/1","17","12","1"
"2016/2/1","18","12","1"
"2016/2/1","19","12","1"
"2016/2/1","20","12","1"
"2016/2/1","21","12","1"
"2016/2/1","22","12","1"
"2016/2/1","23","12","1"
"2016/2/1","24","12","1"
"2016/2/1","25","12","1"
"2016/2/1","27","12","1"
"2016/2/1","28","12","1"
"2016/2/1","29","12","1"
"2016/2/1","30","12","1"
"2016/2/1","31","12","1"
"2016/2/1","33","12","1"
"2016/2/1","35","12","1"
"2016/2/1","36","12","1"
"2016/2/1","37","12","1"
"2016/2/1","38","12","1"
"2016/2/1","40","12","1"
"2016/2/1","42","12","1"
"2016/2/1","44","12","1"
"2016/2/1","46","12","1"
"2016/2/1","8","5","1"
"2016/2/1","11","5","1"
"2016/2/1","12","5","1"
"2016/2/1","15","5","1"
"2016/2/1","17","5","1"
"2016/2/1","19","5","1"
"2016/2/1","26","5","1"
"2016/2/1","27","5","1"
"2016/2/1","28","5","1"
"2016/2/1","29","5","1"
"2016/2/1","31","5","1"
"2016/2/1","34","5","1"
"2016/2/1","39","5","1"
"2016/2/1","40","5","1"
"2016/2/1","41","5","1"
"2016/2/1","44","5","1"
"2016/2/1","45","5","1"
"2016/2/29","8","12","1"
"2016/2/29","11","12","1"
"2016/2/29","12","12","1"
"2016/2/29","24","12","1"
"2016/2/29","26","12","1"
"2016/2/29","27","12","1"
"2016/2/29","29","12","1"
"2016/2/29","31","12","1"
"2016/2/29","34","12","1"
"2016/2/29","39","12","1"
"2016/2/29","41","12","1"
"2016/2/29","44","12","1"
"2016/2/29","45","12","1"
"2016/2/29","1","5","1"
"2016/2/29","2","5","1"
"2016/2/29","3","5","1"
"2016/2/29","4","5","1"
"2016/2/29","6","5","1"
"2016/2/29","7","5","1"
"2016/2/29","8","5","1"
"2016/2/29","10","5","1"
"2016/2/29","11","5","1"
"2016/2/29","12","5","1"
"2016/2/29","14","5","1"
"2016/2/29","15","5","1"
"2016/2/29","16","5","1"
"2016/2/29","17","5","1"
"2016/2/29","18","5","1"
"2016/2/29","19","5","1"
"2016/2/29","20","5","1"
"2016/2/29","23","5","1"
"2016/2/29","24","5","1"
"2016/2/29","25","5","1"
"2016/2/29","26","5","1"
"2016/2/29","27","5","1"
"2016/2/29","28","5","1"
"2016/2/29","29","5","1"
"2016/2/29","30","5","1"
"2016/2/29","31","5","1"
"2016/2/29","36","5","1"
"2016/2/29","37","5","1"
"2016/2/29","39","5","1"
"2016/2/29","40","5","1"
"2016/2/29","41","5","1"
"2016/2/29","42","5","1"
"2016/2/29","44","5","1"
"2016/2/29","46","5","1"
"2016/2/29","47","5","1"
"2016/3/31","1","12","1"
"2016/3/31","3","12","1"
"2016/3/31","4","12","1"
"2016/3/31","5","12","1"
"2016/3/31","6","12","1"
"2016/3/31","7","12","1"
"2016/3/31","8","12","1"
"2016/3/31","9","12","1"
"2016/3/31","10","12","1"
"2016/3/31","12","12","1"
"2016/3/31","13","12","1"
"2016/3/31","14","12","1"
"2016/3/31","15","12","1"
